modello,layer_analizzato,layer_iniezione_locus,media_cosine_similarity,media_valore_assoluto
Qwen/Qwen2.5-Coder-7B-Instruct,21,18,-0.7212938850308642,0.7212938850308642
Qwen/Qwen2.5-Coder-7B-Instruct,22,18,-0.7184003665123457,0.7184003665123457
Qwen/Qwen2.5-Coder-7B-Instruct,23,18,-0.7471788194444444,0.7471788194444444
Qwen/Qwen2.5-Coder-7B-Instruct,24,18,-0.7386911651234568,0.7386911651234568
Qwen/Qwen2.5-Coder-7B-Instruct,25,18,-0.7140600887345679,0.7140600887345679
Qwen/Qwen2.5-Coder-7B-Instruct,26,18,-0.6976453993055556,0.6976453993055556
Qwen/Qwen2.5-Coder-7B-Instruct,27,18,-0.6496672453703703,0.6496672453703703
meta-llama/Llama-3.1-8B-Instruct,0,15,,
meta-llama/Llama-3.1-8B-Instruct,1,15,,
meta-llama/Llama-3.1-8B-Instruct,2,15,,
meta-llama/Llama-3.1-8B-Instruct,3,15,,
meta-llama/Llama-3.1-8B-Instruct,4,15,,
meta-llama/Llama-3.1-8B-Instruct,5,15,,
meta-llama/Llama-3.1-8B-Instruct,6,15,,
meta-llama/Llama-3.1-8B-Instruct,7,15,,
meta-llama/Llama-3.1-8B-Instruct,8,15,,
meta-llama/Llama-3.1-8B-Instruct,9,15,,
meta-llama/Llama-3.1-8B-Instruct,10,15,,
meta-llama/Llama-3.1-8B-Instruct,11,15,,
meta-llama/Llama-3.1-8B-Instruct,12,15,,
meta-llama/Llama-3.1-8B-Instruct,13,15,,
meta-llama/Llama-3.1-8B-Instruct,14,15,,
meta-llama/Llama-3.1-8B-Instruct,15,15,,
meta-llama/Llama-3.1-8B-Instruct,16,15,,
meta-llama/Llama-3.1-8B-Instruct,17,15,-0.7388729519314237,0.7388729519314237
meta-llama/Llama-3.1-8B-Instruct,18,15,-0.7652825249565972,0.7652825249565972
meta-llama/Llama-3.1-8B-Instruct,19,15,-0.7970343695746528,0.7970343695746528
meta-llama/Llama-3.1-8B-Instruct,20,15,-0.8033379448784722,0.8033379448784722
meta-llama/Llama-3.1-8B-Instruct,21,15,-0.8172217475043403,0.8172217475043403
meta-llama/Llama-3.1-8B-Instruct,22,15,-0.814605712890625,0.814605712890625
meta-llama/Llama-3.1-8B-Instruct,23,15,-0.8344845241970487,0.8344845241970487
meta-llama/Llama-3.1-8B-Instruct,24,15,-0.845733642578125,0.845733642578125
meta-llama/Llama-3.1-8B-Instruct,25,15,-0.8453572591145834,0.8453572591145834
meta-llama/Llama-3.1-8B-Instruct,26,15,-0.8403811984592013,0.8403811984592013
meta-llama/Llama-3.1-8B-Instruct,27,15,-0.8395860460069444,0.8395860460069444
meta-llama/Llama-3.1-8B-Instruct,28,15,-0.8233659532335069,0.8233659532335069
meta-llama/Llama-3.1-8B-Instruct,29,15,-0.825394524468316,0.825394524468316
meta-llama/Llama-3.1-8B-Instruct,30,15,-0.7870839436848959,0.7870839436848959
meta-llama/Llama-3.1-8B-Instruct,31,15,-0.6172069973415799,0.6172069973415799
codellama/CodeLlama-7b-Instruct-hf,0,13,,
codellama/CodeLlama-7b-Instruct-hf,1,13,,
codellama/CodeLlama-7b-Instruct-hf,2,13,,
codellama/CodeLlama-7b-Instruct-hf,3,13,,
codellama/CodeLlama-7b-Instruct-hf,4,13,,
codellama/CodeLlama-7b-Instruct-hf,5,13,,
codellama/CodeLlama-7b-Instruct-hf,6,13,,
codellama/CodeLlama-7b-Instruct-hf,7,13,,
codellama/CodeLlama-7b-Instruct-hf,8,13,,
codellama/CodeLlama-7b-Instruct-hf,9,13,,
codellama/CodeLlama-7b-Instruct-hf,10,13,,
codellama/CodeLlama-7b-Instruct-hf,11,13,,
codellama/CodeLlama-7b-Instruct-hf,12,13,,
codellama/CodeLlama-7b-Instruct-hf,13,13,,
codellama/CodeLlama-7b-Instruct-hf,14,13,,
codellama/CodeLlama-7b-Instruct-hf,15,13,-0.6943837588595361,0.6943837588595361
codellama/CodeLlama-7b-Instruct-hf,16,13,-0.6378639457152062,0.6378639457152062
codellama/CodeLlama-7b-Instruct-hf,17,13,-0.6164928318298969,0.6164928318298969
codellama/CodeLlama-7b-Instruct-hf,18,13,-0.5940394450708762,0.5940394450708762
codellama/CodeLlama-7b-Instruct-hf,19,13,-0.5646091736469072,0.5646091736469072
codellama/CodeLlama-7b-Instruct-hf,20,13,-0.5517779478092784,0.5517779478092784
codellama/CodeLlama-7b-Instruct-hf,21,13,-0.5525732925257731,0.5525732925257731
codellama/CodeLlama-7b-Instruct-hf,22,13,-0.5206550519490979,0.5206550519490979
codellama/CodeLlama-7b-Instruct-hf,23,13,-0.5355539223582474,0.5355539223582474
codellama/CodeLlama-7b-Instruct-hf,24,13,-0.5207544700386598,0.5207544700386598
codellama/CodeLlama-7b-Instruct-hf,25,13,-0.49932169176868557,0.49932169176868557
codellama/CodeLlama-7b-Instruct-hf,26,13,-0.49567594233247425,0.49567594233247425
codellama/CodeLlama-7b-Instruct-hf,27,13,-0.4976139658505155,0.4976139658505155
codellama/CodeLlama-7b-Instruct-hf,28,13,-0.4750812963112113,0.4750812963112113
codellama/CodeLlama-7b-Instruct-hf,29,13,-0.4816340810244845,0.4816340810244845
codellama/CodeLlama-7b-Instruct-hf,30,13,-0.42457438990012886,0.42457438990012886
codellama/CodeLlama-7b-Instruct-hf,31,13,-0.3701952118234536,0.3701952118234536
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,0,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,1,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,2,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,3,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,4,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,5,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,6,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,7,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,8,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,9,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,10,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,11,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,12,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,13,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,14,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,15,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,16,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,17,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,18,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,19,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,20,19,,
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,21,19,-0.824736328125,0.824736328125
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,22,19,-0.796455078125,0.796455078125
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,23,19,-0.743408203125,0.743408203125
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,24,19,-0.817041015625,0.817041015625
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,25,19,-0.802958984375,0.802958984375
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,26,19,-0.787255859375,0.787255859375
deepseek-ai/DeepSeek-R1-Distill-Qwen-7B,27,19,-0.59556640625,0.59556640625
deepseek-ai/deepseek-coder-6.7b-instruct,0,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,1,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,2,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,3,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,4,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,5,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,6,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,7,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,8,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,9,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,10,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,11,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,12,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,13,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,14,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,15,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,16,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,17,16,,
deepseek-ai/deepseek-coder-6.7b-instruct,18,16,-0.8667805989583334,0.8667805989583334
deepseek-ai/deepseek-coder-6.7b-instruct,19,16,-0.8067220052083334,0.8067220052083334
deepseek-ai/deepseek-coder-6.7b-instruct,20,16,-0.7919921875,0.7919921875
deepseek-ai/deepseek-coder-6.7b-instruct,21,16,-0.786376953125,0.786376953125
deepseek-ai/deepseek-coder-6.7b-instruct,22,16,-0.7599283854166666,0.7599283854166666
deepseek-ai/deepseek-coder-6.7b-instruct,23,16,-0.7223307291666666,0.7223307291666666
deepseek-ai/deepseek-coder-6.7b-instruct,24,16,-0.7120768229166666,0.7120768229166666
deepseek-ai/deepseek-coder-6.7b-instruct,25,16,-0.6666666666666666,0.6666666666666666
deepseek-ai/deepseek-coder-6.7b-instruct,26,16,-0.6453450520833334,0.6453450520833334
deepseek-ai/deepseek-coder-6.7b-instruct,27,16,-0.6375325520833334,0.6375325520833334
deepseek-ai/deepseek-coder-6.7b-instruct,28,16,-0.6278483072916666,0.6278483072916666
deepseek-ai/deepseek-coder-6.7b-instruct,29,16,-0.6022135416666666,0.6022135416666666
deepseek-ai/deepseek-coder-6.7b-instruct,30,16,-0.5941569010416666,0.5941569010416666
deepseek-ai/deepseek-coder-6.7b-instruct,31,16,-0.5015869140625,0.5015869140625
